1923,Agronomy,agronomy
1923,Soil Science,soil-science
1923,Agricultural Chemistry,agricultural-chemistry
1923,Agricultural Physics,agricultural-physics
1923,Soil Fertility & Fertilizer Management,soil-fertility-fertilizer-management
1923,Irrigation & Water Management,irrigation-water-management
1923,Dryland Farming,dryland-farming
1923,Crop Production,crop-production
1923,Seed Science & Technology,seed-science-technology
1923,Plant Breeding & Genetics,plant-breeding-genetics
1923,Plant Biotechnology,plant-biotechnology
1923,Plant Pathology,plant-pathology
1923,Agricultural Microbiology,agricultural-microbiology
1923,Entomology,entomology
1923,Agricultural Zoology,agricultural-zoology
1923,Weed Science,weed-science
1923,Crop Physiology,crop-physiology
1923,Horticulture,horticulture
1923,Fruit Science (Pomology),fruit-science-pomology
1923,Vegetable Science (Olericulture),vegetable-science-olericulture
1923,Floriculture,floriculture
1923,Plantation Crops,plantation-crops
1923,Spices & Medicinal Crops,spices-medicinal-crops
1923,Forestry,forestry
1923,Agroforestry,agroforestry
1923,Organic Farming,organic-farming
1923,Sustainable Agriculture,sustainable-agriculture
1923,Precision Agriculture,precision-agriculture
1923,Protected Cultivation,protected-cultivation
1923,Post-Harvest Technology,post-harvest-technology
1923,Agricultural Engineering,agricultural-engineering
1923,Farm Machinery & Power,farm-machinery-power
1923,Agricultural Economics,agricultural-economics
1923,Farm Management,farm-management
1923,Agricultural Marketing,agricultural-marketing
1923,Agricultural Extension Education,agricultural-extension-education
1923,Animal Husbandry,animal-husbandry
1923,Dairy Science,dairy-science
1923,Poultry Science,poultry-science
1923,Fisheries,fisheries
1923,Environmental Science,environmental-science
1923,Watershed Management,watershed-management
1923,Climate Smart Agriculture,climate-smart-agriculture
1923,Integrated Farming Systems,integrated-farming-systems
1923,Integrated Pest Management (IPM),integrated-pest-management-ipm
1923,Integrated Nutrient Management (INM),integrated-nutrient-management-inm
1923,General Knowledge,general-knowledge
1923,Current Affairs,current-affairs
1923,General Science,general-science
1923,Indian Agriculture,indian-agriculture
1923,Agriculture Schemes & Policies,agriculture-schemes-policies
1923,Computer Knowledge,computer-knowledge
1923,Quantitative Aptitude,quantitative-aptitude
1923,Reasoning Ability,reasoning-ability
1923,English Language,english-language
1923,Hindi Language,hindi-language
1922,Agronomy,agronomy
1922,Soil Science,soil-science
1922,Soil Fertility & Nutrient Management,soil-fertility-nutrient-management
1922,Soil Physics,soil-physics
1922,Soil Chemistry,soil-chemistry
1922,Soil Microbiology,soil-microbiology
1922,Agricultural Meteorology,agricultural-meteorology
1922,Crop Production,crop-production
1922,Seed Science & Technology,seed-science-technology
1922,Plant Breeding & Genetics,plant-breeding-genetics
1922,Plant Biotechnology,plant-biotechnology
1922,Plant Physiology,plant-physiology
1922,Plant Pathology,plant-pathology
1922,Entomology,entomology
1922,Weed Science,weed-science
1922,Horticulture,horticulture
1922,Fruit Science (Pomology),fruit-science-pomology
1922,Vegetable Science (Olericulture),vegetable-science-olericulture
1922,Floriculture,floriculture
1922,Plantation Crops,plantation-crops
1922,Spices & Medicinal Crops,spices-medicinal-crops
1922,Forestry,forestry
1922,Agroforestry,agroforestry
1922,Organic Farming,organic-farming
1922,Sustainable Agriculture,sustainable-agriculture
1922,Precision Agriculture,precision-agriculture
1922,Protected Cultivation,protected-cultivation
1922,Irrigation & Water Management,irrigation-water-management
1922,Dryland Agriculture,dryland-agriculture
1922,Watershed Management,watershed-management
1922,Agricultural Engineering,agricultural-engineering
1922,Farm Machinery & Power,farm-machinery-power
1922,Post-Harvest Technology,post-harvest-technology
1922,Agricultural Processing,agricultural-processing
1922,Agricultural Economics,agricultural-economics
1922,Farm Management,farm-management
1922,Agricultural Marketing,agricultural-marketing
